,chapter_number,word,count
1340,3,oh,3
1341,3,ready,3
1342,3,bankthe,1
1343,3,promised,1
1344,3,we,2
1345,3,there,4
1346,3,half,4
1347,3,her,12
1348,3,all,17
1349,3,something,2
1350,3,ma,1
1351,3,position,1
1352,3,declared,1
1353,3,herself,4
1354,3,no,6
1355,3,shook,1
1356,3,certainly,1
1357,3,oyster,1
1358,3,important,1
1359,3,a,47
1360,3,then,2
1361,3,were,4
1362,3,feathers,1
1363,3,rest,1
1364,3,doesn,3
1365,3,voices,1
1366,3,pity,1
1367,3,dinah,5
1368,3,sighed,1
1369,3,come,2
1370,3,with,12
1371,3,chapter,1
1372,3,home,1
1373,3,last,4
1374,3,s,8
1375,3,attending,1
1376,3,very,8
1377,3,again,6
1378,3,waited,1
1379,3,offended,3
1380,3,d,2
1381,3,mentioned,1
1382,3,acceptance,1
1383,3,hurried,1
1384,3,wouldn,1
1385,3,upon,1
1386,3,shall,2
1387,3,case,1
1388,3,caused,2
1389,3,will,2
1390,3,well,1
1391,3,catch,1
1392,3,this,12
1393,3,nothing,2
1394,3,allow,1
1395,3,other,1
1396,3,severely,1
1397,3,he,2
1398,3,much,2
1399,3,cold,1
1400,3,known,1
1401,3,t,9
1402,3,frog,1
1403,3,large,2
1404,3,ve,1
1405,3,bed,1
1406,3,others,1
1407,3,that,13
1408,3,clinging,1
1409,3,despair,1
1410,3,they,14
1411,3,presented,1
1412,3,great,1
1413,3,hadn,1
1414,3,quicker,1
1415,3,carefully,1
1416,3,those,1
1417,3,going,1
1418,3,shiver,1
1419,3,continued,1
1420,3,exactly,1
1421,3,you,32
1422,3,if,6
1423,3,at,11
1424,3,poor,2
1425,3,bend,1
1426,3,cry,1
1427,3,seem,1
1428,3,get,3
1429,3,low-spirited,1
1430,3,kept,2
1431,3,advisable,2
1432,3,night-air,1
1433,3,short,1
1434,3,late,1
1435,3,smile,1
1436,3,edwin,2
1437,3,animals,1
1438,3,m,1
1439,3,politely,1
1440,3,seems,1
1441,3,whose,1
1442,3,such,3
1443,3,stigand,1
1444,3,cause,2
1445,3,are,4
1446,3,hide,1
1447,3,birds,5
1448,3,dear,4
1449,3,once,4
1450,3,absurd,1
1451,3,what,11
1452,3,one,7
1453,3,bad,1
1454,3,it,38
1455,3,assembled,1
1456,3,melancholy,2
1457,3,talking,2
1458,3,undo,1
1459,3,don,2
1460,3,pulled,1
1461,3,catching,1
1462,3,older,1
1463,3,youcome,1
1464,3,move,1
1465,3,managed,1
1466,3,eat,2
1467,3,reply,1
1468,3,only,4
1469,3,mouse,20
1470,3,afraid,1
1471,3,its,6
1472,3,placed,1
1473,3,found,4
1474,3,argument,1
1475,3,called,4
1476,3,northumbria,2
1477,3,when,6
1478,3,rather,1
1479,3,or,3
1480,3,pocket,2
1481,3,mind,1
